Gene_acc,Gene_id,bsf,pcf,rank_bsf,rank_pcf,Desc,prot_group
67,Tb927.5.4410,6.12,6.65,4144,5632,"hypothetical protein, conserved",PG29
68,Tb05.5K5.60,6.12,6.65,4144,5632,"hypothetical protein, conserved",PG29
69,Tb927.5.4420,7.06,6.82,5818,5846,"nucleolar RNA helicase II, putative",PG30
70,Tb05.5K5.70,7.06,6.82,5818,5846,"nucleolar RNA helicase II, putative",PG30
71,Tb927.5.4430,5.69,3.66,3090,1181,"calcium/calmodulin-dependent protein kinase, putative",PG31
72,Tb05.5K5.80,5.69,3.66,3090,1181,"calcium/calmodulin-dependent protein kinase, putative",PG31
73,Tb927.5.4440,6.94,3.6,5676,657,"dynein light chain, putative",PG32
74,Tb05.5K5.90,6.94,3.6,5676,657,"dynein light chain, putative",PG32
75,Tb06.3A7.270,3.31,4.47,356,2201,"hypothetical protein, conserved",PG33
76,Tb06.3A7.960,6.41,5.85,4787,4143,hypothetical protein,PG34
77,Tb07.11L3.100,5.09,5.24,1833,2910,SUMO-interacting motif-containing protein,PG35
78,Tb927.7.2150,5.09,5.24,1833,2910,SUMO-interacting motif-containing protein,PG35
79,Tb927.7.2140,6.58,6.57,5133,5521,"zinc finger protein family member, putative",PG36
80,Tb07.11L3.90,6.58,6.57,5133,5521,"zinc finger protein family member, putative",PG36
81,Tb09.v4.0009,3.59,5.77,853,3924,"receptor-type adenylate cyclase, putative",PG37
82,Tb927.9.15660,3.59,5.77,853,3924,procyclic-enriched flagellar receptor adenylate cyclase 6,PG37
83,Tb09.v4.0010,4.67,3.62,1317,887,"variant surface glycoprotein (VSG), pseudogene",PG38
84,Tb927.9.15680,4.67,3.62,1317,887,expression site-associated gene 6 (ESAG6),PG38
85,Tb927.9.15850,6.12,3.61,4154,747,hypothetical protein,PG39
86,Tb09.v4.0110,6.12,3.61,4154,747,hypothetical protein,PG39
87,Tb09.v4.0014,6.12,3.61,4154,747,hypothetical protein,PG39
88,Tb09.v4.0015,6.8,3.64,5467,1047,hypothetical protein,PG40
89,Tb927.9.15870,6.8,3.64,5467,1047,hypothetical protein,PG40
90,Tb09.v4.0016,6.45,3.59,4890,545,"expression site- associated gene (ESAG) protein, putative",PG41
91,Tb11.v5.0463,6.45,3.59,4890,545,"expression site-associated gene (ESAG) protein, putative",PG41
92,Tb927.9.15890,6.45,3.59,4890,545,"expression site-associated gene 5 (ESAG5) protein, putative",PG41
93,Tb09.v4.0017,5.25,3.61,2110,796,"rab1 (small gtp-binding protein rab1, putative)",PG42
94,Tb927.9.15930,5.25,3.61,2110,796,"small GTPase, putative",PG42
95,Tb09.v4.0067,6.39,7.08,4764,6077,"retrotransposon hot spot protein, pseudogene",PG43
96,Tb09.v4.0107,5.53,3.59,2686,544,"expression site-associated gene 5 (ESAG5) protein, putative",PG44
97,Tb09.v4.0111,4.12,3.55,997,252,"variant surface glycoprotein (VSG, pseudogene), putative",PG45
98,Tb09.v4.0150,4.65,3.62,1307,842,"variant surface glycoprotein (VSG, pseudogene), putative",PG46
99,Tb09.v4.0151,5.24,3.56,2077,307,hypothetical protein,PG47
100,Tb10.v4.0033,6.68,6.26,5302,5028,pumillo RNA binding protein PUF1,PG48
101,Tb927.10.4430,6.68,6.26,5302,5028,pumillo RNA binding protein PUF1,PG48
102,Tb11.v5.0767,6.68,6.26,5302,5028,"pumillo RNA binding protein PUF1, putative",PG48
103,Tb927.10.4440,6.0,5.21,3860,2848,SAP DNA binding domain containing protein,PG49
104,Tb10.v4.0034,6.0,5.21,3860,2848,"SAP domain containing protein, putative",PG49
105,Tb10.v4.0035,7.67,7.19,6332,6154,"stress-inducible protein STI1-like, putative",PG50
106,Tb927.10.4450,7.67,7.19,6332,6154,"stress-inducible protein STI1-like, putative",PG50
107,Tb11.v5.0757,7.67,7.19,6332,6154,"stress-inducible protein STI1-like, putative",PG50
108,Tb927.10.4460,6.37,6.1,4715,4685,"leucine carboxyl methyltransferase, putative",PG51
109,Tb10.v4.0036,6.37,6.1,4715,4685,"leucine carboxyl methyltransferase, putative",PG51
110,Tb927.10.4470,5.47,3.65,2566,1107,"hypothetical protein, conserved",PG52
111,Tb10.v4.0037,5.47,3.65,2566,1107,"hypothetical protein, conserved",PG52
112,Tb927.10.4480,4.38,3.66,1089,1169,"DNA damage repair protein, putative",PG53
113,Tb10.v4.0038,4.38,3.66,1089,1169,"chrX additional, unordered contigs",PG53
114,Tb927.10.4500,6.0,5.17,3857,2791,cap guanine-N7 methyltransferase,PG54
115,Tb10.v4.0040,6.0,5.17,3857,2791,"mRNA capping methyltransferase, putative",PG54
116,Tb10.v4.0041,6.03,6.4,3939,5264,"PUB domain containing protein, putative",PG55
117,Tb927.10.4510,6.03,6.4,3939,5264,"PUB domain containing protein, putative",PG55
118,Tb927.10.4330,5.95,6.34,3731,5166,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",PG56
119,Tb11.v5.1012,5.95,6.34,3731,5166,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",PG56
120,Tb10.v4.0043,5.95,6.34,3731,5166,"chrX additional, unordered contigs",PG56
121,Tb927.10.4320,5.78,5.46,3300,3294,"hypothetical protein, conserved",PG57
122,Tb10.v4.0044,5.78,5.46,3300,3294,"hypothetical protein, conserved",PG57
123,Tb927.10.4310,6.92,7.54,5653,6371,"prohibitin 2, putative",PG58
124,Tb10.v4.0045,6.92,7.54,5653,6371,"prohibitin, putative",PG58
125,Tb10.v4.0052,7.42,7.24,6192,6207,microtubule-associated protein 2,PG59
126,Tb10.v4.0066,6.59,3.58,5156,481,"expression site-associated gene 3 (ESAG3, pseudogene), putative",PG60
127,Tb10.v4.0071,3.48,3.6,750,722,"variant surface glycoprotein (VSG, pseudogene), putative /product",PG61
128,Tb10.v4.0109,7.47,3.56,6228,316,"variant surface glycoprotein (VSG, pseudogene), putative",PG62
129,Tb10.v4.0217,5.93,3.56,3679,317,hypothetical protein,PG63
130,Tb10.v4.0219,3.32,3.59,390,614,"retrotransposon hot spot protein (RHS, pseudogene), putative",PG64
131,Tb927.10.6900,5.85,3.53,3464,131,base J-associated glucosyltransferase,PG65
132,Tb10.v4.0246,5.85,3.53,3464,131,hypothetical protein,PG65
133,Tb927.10.6950,5.33,6.58,2264,5546,"sterol 24-c-methyltransferase, putative",PG66
134,Tb927.10.6910,5.33,6.58,2264,5546,"Sterol methyltransferase, putative",PG66
135,Tb11.v5.0496,5.33,6.58,2264,5546,"sterol 24-c-methyltransferase, putative",PG66
136,Tb10.v4.0247,5.33,6.58,2264,5546,"s-adenosyl-L-methionine-c-24-delta-sterol-methyl transferase a, putative",PG66
137,Tb927.10.6920,6.82,6.45,5498,5351,hypothetical protein,PG67
138,Tb10.v4.0248,6.82,6.45,5498,5351,hypothetical protein,PG67
139,Tb927.10.6930,3.37,3.58,553,504,"Cullin family/Cullin protein neddylation domain containing protein, putative",PG68
140,Tb10.v4.0249,3.37,3.58,553,504,"Cullin family/Cullin protein neddylation domain containing protein, putative",PG68
141,Tb11.01.2730,5.66,3.86,3026,1856,"hypothetical protein, conserved",PG69
142,Tb11.01.6250,3.4,3.54,617,186,"expression site-associated gene 11 (ESAG11) protein, putative",PG70
143,Tb11.02.5070b,5.33,5.82,2269,4074,"hypothetical protein, conserved",PG71
144,Tb927.11.7212,5.33,5.82,2269,4074,"NADH-ubiquinone oxidoreductase complex I subunit, putative",PG71
145,Tb927.11.7213,6.86,5.68,5565,3728,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",PG72
146,Tb11.02.5080b,6.86,5.68,5565,3728,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",PG72
147,Tb11.02.5090b,5.53,5.61,2695,3570,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene",PG73
148,Tb11.02.5090,5.53,5.61,2695,3570,trimethylguanosine synthase,PG73
149,Tb927.11.7214,3.46,4.99,739,2550,Mitoribosomal SSU assembly factor 13,PG74
150,Tb11.02.5100b,3.46,4.99,739,2550,"hypothetical protein, conserved",PG74
151,Tb11.02.5105b,3.42,6.53,662,5482,"hypothetical protein, conserved",PG75
152,Tb11.02.5105,3.42,6.53,662,5482,Present in the outer mitochondrial membrane proteome 15,PG75
153,Tb927.11.7216,3.36,3.65,528,1145,"origin recognition complex subunit 1 (ORC1), putative",PG76
154,Tb11.02.5110b,3.36,3.65,528,1145,"origin recognition complex subunit 1 (ORC1), putative",PG76
155,Tb927.11.7218,4.26,5.44,1042,3261,mitochondrial edited mRNA stability factor 1 subunit,PG77
156,Tb11.02.5120b,4.26,5.44,1042,3261,"mitochondrial edited mRNA stability factor 1 subunit, putative",PG77
157,Tb11.02.5360b,5.0,6.23,1695,4962,"hypothetical protein, conserved",PG78
158,Tb11.02.5360,5.0,6.23,1695,4962,"hypothetical protein, conserved",PG78
159,Tb11.02.5370b,3.31,3.73,359,1549,"hypothetical protein, conserved",PG79
160,Tb11.02.5370,3.31,3.73,359,1549,"hypothetical protein, conserved",PG79
161,Tb11.02.5380b,6.07,5.44,4024,3253,"exosome complex exonuclease RRP44p homologue, putative",PG80
162,Tb11.02.5380,6.07,5.44,4024,3253,exosome complex exonuclease RRP44p homologue,PG80
163,Tb11.02.5390b,5.63,5.99,2936,4461,"mRNA processing protein, putative",PG81
164,Tb11.02.5390,5.63,5.99,2936,4461,Guide RNA binding complex protein 4,PG81
165,Tb11.02.5400b,5.51,7.23,2631,6193,"cystathionine beta-synthase, putative",PG82
166,Tb11.02.5400,5.51,7.23,2631,6193,"cystathionine beta-synthase, putative",PG82
167,Tb11.02.5410b,5.71,6.14,3169,4791,"ubiquitin activating enzyme, putative",PG83
168,Tb11.02.5410,5.71,6.14,3169,4791,"ubiquitin activating enzyme (E1) subunit Aos1, putative",PG83
169,Tb11.02.5420b,7.03,6.32,5787,5111,"NADPH-cytochrome p450 reductase, putative",PG84
170,Tb11.02.5420,7.03,6.32,5787,5111,"NADPH-cytochrome p450 reductase, putative",PG84
171,Tb11.02.5430b,5.85,5.67,3480,3723,"hypothetical protein, conserved",PG85
172,Tb11.02.5430,5.85,5.67,3480,3723,"hypothetical protein, conserved",PG85
173,Tb927.6.4980,8.37,8.15,6580,6572,40S ribosomal protein S14,PG86
174,Tb927.11.7705,8.37,8.15,6580,6572,"ribosomal protein S11, putative",PG86
175,Tb11.0390,8.37,8.15,6580,6572,"chrXI additional, unordered contigs",PG86
176,Tb11.0290,8.37,8.15,6580,6572,"chrXI additional, unordered contigs",PG86
177,Tb927.11.7690,4.32,4.69,1060,2289,hypothetical protein,PG87
178,Tb11.0320,4.32,4.69,1060,2289,hypothetical protein,PG87
179,Tb927.11.7660,4.63,3.54,1285,202,hypothetical protein,PG88
180,Tb11.0340,4.63,3.54,1285,202,hypothetical protein,PG88
181,Tb927.11.7650,6.21,3.63,4343,964,hypothetical protein,PG89
182,Tb11.0350,6.21,3.63,4343,964,hypothetical protein,PG89
183,Tb11.0400,3.2,7.34,35,6263,"P27 protein, putative",PG90
184,Tb927.11.7700,3.2,7.34,35,6263,hypothetical protein,PG90
185,Tb11.0300,3.2,7.34,35,6263,hypothetical protein,PG90
186,Tb927.10.1130,6.33,5.68,4625,3730,"dynein arm light chain, axonemal, putative",PG91
187,Tb11.0520,6.33,5.68,4625,3730,"dynein light chain, putative",PG91
188,Tb927.10.1140,5.69,5.16,3109,2772,epsilon tubulin,PG92
189,Tb11.0530,5.69,5.16,3109,2772,epsilon tubulin,PG92
190,Tb927.10.1150,4.51,3.59,1171,608,"hypothetical protein, conserved",PG93
191,Tb11.0540,4.51,3.59,1171,608,hypothetical protein,PG93
192,Tb927.10.1160,4.51,5.47,1172,3306,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative",PG94
193,Tb11.0550,4.51,5.47,1172,3306,"hypothetical protein, conserved",PG94
194,Tb11.0820,3.52,3.63,800,988,"retrotransposon hot spot protein 4 (RHS4, pseudogene), putative",PG95
195,Tb11.v5.0295,3.52,3.63,800,988,"retrotransposon hot spot (RHS) protein, putative",PG95
196,Tb11.v5.0294,3.52,3.63,800,988,"retrotransposon hot spot (RHS) protein, putative",PG95
197,Tb927.11.715,8.46,7.16,6590,6145,"dynein light chain LC8, putative",PG96
198,Tb927.11.18680,8.46,7.16,6590,6145,"dynein light chain LC8, putative",PG96
199,Tb11.0845,8.46,7.16,6590,6145,"dynein light chain LC8, putative",PG96
200,Tb11.0870,3.36,3.59,527,602,hypothetical protein,PG97
201,Tb927.11.690,3.36,3.59,527,602,"hypothetical protein, conserved",PG97
202,Tb927.4.1100,8.34,7.84,6574,6494,"ribosomal protein L21E (60S), putative",PG98
203,Tb927.11.680,8.34,7.84,6574,6494,"ribosomal protein L21E (60S), putative",PG98
204,Tb11.0880,8.34,7.84,6574,6494,"chrXI additional, unordered contigs",PG98
205,Tb11.1220,7.42,6.98,6189,5996,hypothetical protein,PG99
206,Tb11.v5.0996,7.42,6.98,6189,5996,"hypothetical protein, conserved",PG99
207,Tb927.10.15250,7.42,6.98,6189,5996,"paraflagellar rod component, putative",PG99
208,Tb927.10.15260,3.91,3.6,955,725,"leucine-rich repeat protein (LRRP), putative",PG100
209,Tb11.v5.0997,3.91,3.6,955,725,"hypothetical protein, conserved",PG100
210,Tb11.1230,3.91,3.6,955,725,Component of motile flagella 16,PG100
211,Tb927.10.15270,6.74,6.11,5389,4720,"metallo- peptidase, Clan MG, Family M24",PG101
212,Tb11.v5.0998,6.74,6.11,5389,4720,"methionine aminopeptidase, putative",PG101
213,Tb11.1240,6.74,6.11,5389,4720,"methionine aminopeptidase, type I, putative",PG101
214,Tb927.11.1840,7.99,7.63,6457,6406,"hypothetical protein, conserved",PG102
215,Tb11.1380.1-p1,7.99,7.63,6457,6406,Tb11.1380.1-p1,PG102
216,Tb927.11.1830,3.36,6.37,543,5218,"hypothetical protein, conserved",PG103
217,Tb11.1390.1-p1,3.36,6.37,543,5218,Tb11.1390.1-p1,PG103
218,Tb927.11.1810,5.8,3.86,3351,1858,"Ring finger domain containing protein, putative",PG104
219,Tb11.1410.1-p1,5.8,3.86,3351,1858,Tb11.1410.1-p1,PG104
220,Tb11.1780.1-p1,6.85,5.91,5546,4281,Tb11.1780.1-p1,PG105
221,Tb11.1790.1-p1,6.87,6.73,5585,5739,Tb11.1790.1-p1,PG106
222,Tb927.11.17840,6.87,6.73,5585,5739,"retrotransposon hot spot protein (RHS), degenerate",PG106
223,Tb927.5.160,6.87,6.73,5585,5739,"retrotransposon hot spot protein (RHS, pseudogene), putative",PG106
224,Tb927.7.4590,3.27,3.59,219,629,"chaperone protein DnaJ, putative",PG107
225,Tb11.v5.0146,3.27,3.59,219,629,"chaperone protein DnaJ, putative",PG107
226,Tb927.7.4600,4.58,3.6,1236,733,"Calponin homology (CH) domain containing protein, putative",PG108
227,Tb11.v5.0147,4.58,3.6,1236,733,"Calponin homology (CH) domain containing protein, putative",PG108
228,Tb927.7.4650,4.68,3.56,1333,351,J Biosynthesis Protein 2,PG109
229,Tb11.v5.0150,4.68,3.56,1333,351,J Biosynthesis Protein 2,PG109
230,Tb927.7.4660,4.5,3.67,1164,1234,"hypothetical protein, conserved",PG110
231,Tb11.v5.0151,4.5,3.67,1164,1234,"hypothetical protein, conserved",PG110
232,Tb927.7.4690,6.18,3.59,4261,612,hypothetical protein,PG111
233,Tb11.v5.0153,6.18,3.59,4261,612,"BarP protein, putative",PG111
234,Tb11.v5.0154,6.47,4.86,4941,2406,"WD domain, G-beta repeat, putative",PG112
235,Tb927.7.4720,5.53,6.07,2678,4619,hypothetical protein,PG113
236,Tb11.v5.0155,5.53,6.07,2678,4619,"hypothetical protein, conserved",PG113
237,Tb927.7.4730,3.47,3.54,745,204,pumilio/PUF RNA binding protein 5,PG114
238,Tb11.v5.0156,3.47,3.54,745,204,"hypothetical protein, conserved",PG114
239,Tb927.7.4740,5.94,5.02,3711,2587,"hypothetical protein, conserved",PG115
240,Tb11.v5.0157,5.94,5.02,3711,2587,"hypothetical protein, conserved",PG115
241,Tb927.7.4750,6.03,5.07,3925,2649,"hypothetical protein, conserved",PG116
242,Tb11.v5.0158,6.03,5.07,3925,2649,"hypothetical protein, conserved",PG116
243,Tb927.7.4770,8.03,7.66,6470,6419,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",PG117
244,Tb11.v5.0160,8.03,7.66,6470,6419,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",PG117
245,Tb927.7.4780,6.79,6.15,5456,4797,"conserved hypothetical protein, putative",PG118
246,Tb11.v5.0161,6.79,6.15,5456,4797,"conserved hypothetical protein, putative",PG118
247,Tb11.v5.0162,7.33,7.27,6127,6229,proteasome beta 6 subunit,PG119
248,Tb927.7.4790,7.33,7.27,6127,6229,proteasome beta 6 subunit,PG119
249,Tb927.7.4810,6.03,4.79,3936,2353,"HD domain containing protein, putative",PG120
250,Tb11.v5.0163,6.03,4.79,3936,2353,"HD domain containing protein, putative",PG120
251,Tb927.7.4820,6.78,4.0,5452,2036,"Trm112p-like protein, putative",PG121
252,Tb11.v5.0164,6.78,4.0,5452,2036,"Trm112p-like protein, putative",PG121
253,Tb927.7.4830,3.34,3.54,474,196,"kinesin, putative",PG122
254,Tb11.v5.0165,3.34,3.54,474,196,"kinesin, putative",PG122
255,Tb927.7.4840,6.3,6.27,4566,5049,"hypothetical protein, conserved",PG123
256,Tb11.v5.0166,6.3,6.27,4566,5049,"hypothetical protein, conserved",PG123
257,Tb927.7.4850,3.19,3.55,25,246,kinetoplastid kinetochore protein 5,PG124
258,Tb11.v5.0167,3.19,3.55,25,246,"hypothetical protein, conserved",PG124
259,Tb927.7.4860,5.48,3.5,2582,53,kinetoplastid kinetochore protein 13,PG125
260,Tb11.v5.0168,5.48,3.5,2582,53,"FHA domain containing protein, putative",PG125
261,Tb927.7.4870,6.68,6.24,5304,4988,"hypothetical protein, conserved",PG126
262,Tb11.v5.0169,6.68,6.24,5304,4988,"hypothetical protein, conserved",PG126
263,Tb927.7.4890,5.3,5.43,2205,3234,Present in the outer mitochondrial membrane proteome 34,PG127
264,Tb11.v5.0170,5.3,5.43,2205,3234,"hypothetical protein, conserved",PG127
265,Tb927.7.4900,6.4,6.48,4784,5402,5'-3' exoribonuclease A,PG128
266,Tb11.v5.0171,6.4,6.48,4784,5402,"5'-3' exonuclease XRNA, putative",PG128
267,Tb927.7.4910,6.95,6.89,5699,5924,"hypothetical protein, conserved",PG129
268,Tb11.v5.0172,6.95,6.89,5699,5924,"hypothetical protein, conserved",PG129
269,Tb11.v5.0174,4.82,5.44,1457,3254,"ribonuclease H1, putative",PG130
270,Tb927.7.4930,4.82,5.44,1457,3254,ribonuclease H1,PG130
271,Tb927.7.4940,4.72,5.59,1359,3548,"serine peptidase, clan SC, family S9A-like protein",PG131
272,Tb11.v5.0175,4.72,5.59,1359,3548,"oligopeptidase B protein, putative",PG131
273,Tb927.7.4960,6.0,6.01,3848,4490,"hypothetical protein, conserved",PG132
274,Tb11.v5.0177,6.0,6.01,3848,4490,"hypothetical protein, conserved",PG132
275,Tb927.7.4980,4.99,5.41,1675,3203,Present in the outer mitochondrial membrane proteome 35,PG133
276,Tb11.v5.0179,4.99,5.41,1675,3203,"hypothetical protein, conserved",PG133
277,Tb927.7.4990,6.18,5.32,4277,3042,"hypothetical protein, conserved",PG134
278,Tb11.v5.0180,6.18,5.32,4277,3042,"hypothetical protein, conserved",PG134
279,Tb927.7.5020,7.97,7.76,6452,6467,"60S ribosomal protein L19, putative",PG135
280,Tb927.7.5000,7.97,7.76,6452,6467,"60S ribosomal protein L19, putative",PG135
281,Tb11.v5.0182,7.97,7.76,6452,6467,"60S ribosomal protein L19, putative",PG135
282,Tb11.v5.0181,7.97,7.76,6452,6467,"60S ribosomal protein L19, putative",PG135
283,Tb927.7.5030,6.46,5.26,4922,2938,"hypothetical protein, conserved",PG136
284,Tb11.v5.0183,6.46,5.26,4922,2938,"hypothetical protein, conserved",PG136
285,Tb927.7.5040,4.47,3.52,1150,111,"kinesin, putative",PG137
286,Tb11.v5.0184,4.47,3.52,1150,111,"hypothetical protein, conserved",PG137
287,Tb927.7.5050,6.62,6.37,5205,5199,"hypothetical protein, conserved",PG138
288,Tb11.v5.0185,6.62,6.37,5205,5199,"hypothetical protein, conserved",PG138
289,Tb927.7.5070,3.77,3.66,920,1204,hypothetical protein,PG139
290,Tb11.v5.0187,3.77,3.66,920,1204,"hypothetical protein, conserved",PG139
291,Tb927.7.5080,5.03,5.65,1722,3674,ATP-NAD kinase-like protein,PG140
292,Tb11.v5.0188,5.03,5.65,1722,3674,"ATP-NAD kinase, putative",PG140
293,Tb927.10.5950,3.5,3.59,775,555,"Serine/threonine-protein kinase NEK17, putative",PG141
294,Tb11.v5.0190,3.5,3.59,775,555,"protein kinase, putative",PG141
295,Tb11.v5.0191,5.76,4.05,3259,2078,"ELMO/CED-12 family, putative",PG142
296,Tb927.10.5960,5.76,4.05,3259,2078,"engulfment and cell motility domain 2, putative",PG142
297,Tb927.10.5990,6.16,6.03,4227,4553,"Centrosomal protein of 57 kDa, putative",PG143
298,Tb11.v5.0193,6.16,6.03,4227,4553,"hypothetical protein, conserved",PG143
